image,model,avg_dist,cosine_sim,accuracy,correct,total,time,dataset
R_GImag0046.bmp,ST-Continuous,0.44211289286613464,0.9999579191207886,0.581041968162084,803,1382,7.259925603866577,web_dataset
R_GImag0046.bmp,ST-Bucketed,0.7532561421394348,0.9999200701713562,0.3299565846599132,456,1382,7.781548261642456,web_dataset
R_GImag0047.bmp,Original,0.5419681668281555,0.9999910593032837,0.5340086830680174,738,1382,9.483405351638794,web_dataset
R_GImag0047.bmp,ST-Continuous,0.8494935035705566,0.9999909400939941,0.30390738060781475,420,1382,26.712175130844116,web_dataset
R_GImag0047.bmp,ST-Bucketed,1.6244573593139648,0.9999872446060181,0.07742402315484805,107,1382,22.127701997756958,web_dataset
R_GImag0048.bmp,Original,0.6924746632575989,0.9999839663505554,0.4247467438494935,587,1382,3.112257242202759,web_dataset
R_GImag0048.bmp,ST-Continuous,0.6714906096458435,0.9999809861183167,0.46888567293777134,648,1382,7.568167209625244,web_dataset
R_GImag0048.bmp,ST-Bucketed,0.8068017363548279,0.9999759793281555,0.3668596237337192,507,1382,8.6816987991333,web_dataset
R_GImag0049.bmp,Original,0.710564374923706,0.9999906420707703,0.4196816208393632,580,1382,3.1399171352386475,web_dataset
R_GImag0049.bmp,ST-Continuous,0.9030390977859497,0.9999935030937195,0.2539797395079595,351,1382,7.290843486785889,web_dataset
R_GImag0049.bmp,ST-Bucketed,1.8726483583450317,0.9999914765357971,0.03762662807525326,52,1382,8.571385622024536,web_dataset
R_GImag0050.bmp,Original,0.7474674582481384,0.9999620914459229,0.426917510853835,590,1382,3.1931538581848145,web_dataset
R_GImag0050.bmp,ST-Continuous,0.7937771081924438,0.9999586343765259,0.4276410998552822,591,1382,7.54327392578125,web_dataset
R_GImag0050.bmp,ST-Bucketed,1.5,0.9999342560768127,0.08755426917510854,121,1382,8.313273906707764,web_dataset
R_GImag0051.bmp,Original,0.8646888732910156,0.9999566078186035,0.4240231548480463,586,1382,3.1704883575439453,web_dataset
R_GImag0051.bmp,ST-Continuous,0.8878437280654907,0.9999859929084778,0.2785817655571635,385,1382,7.328641891479492,web_dataset
R_GImag0051.bmp,ST-Bucketed,1.172214150428772,0.999947726726532,0.2402315484804631,332,1382,8.19449496269226,web_dataset
R_GImag0052.bmp,Original,0.670043408870697,0.9999875426292419,0.4630969609261939,640,1382,3.2355000972747803,web_dataset
R_GImag0052.bmp,ST-Continuous,1.0159189701080322,0.9999846816062927,0.2829232995658466,391,1382,8.537787199020386,web_dataset
R_GImag0052.bmp,ST-Bucketed,1.4319826364517212,0.9999787211418152,0.0955137481910275,132,1382,28.72176504135132,web_dataset
R_GImag0053.bmp,Original,0.52532559633255,0.9999948143959045,0.5180897250361794,716,1382,3.425755500793457,web_dataset
R_GImag0053.bmp,ST-Continuous,0.728654146194458,0.9999937415122986,0.4117221418234443,569,1382,7.52508807182312,web_dataset
R_GImag0053.bmp,ST-Bucketed,1.4413893222808838,0.9999875426292419,0.10057887120115774,139,1382,7.948553085327148,web_dataset
R_GImag0054.bmp,Original,0.41316932439804077,0.9999597072601318,0.597684515195369,826,1382,3.553936243057251,web_dataset
R_GImag0054.bmp,ST-Continuous,0.8082489371299744,0.9999574422836304,0.30824891461649784,426,1382,7.458747148513794,web_dataset
R_GImag0054.bmp,ST-Bucketed,0.9117221236228943,0.9999499917030334,0.24240231548480462,335,1382,21.300172567367554,web_dataset
R_GImag0055.bmp,Original,0.528219997882843,0.9999821782112122,0.5448625180897251,753,1382,3.2118079662323,web_dataset
